id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6161,Nesmith,Aaron,21.59,IND,SF/PF,CLE,25.00,11.80,1.94,3.93,1.51,0.66,0.44,1.22,2.04,1.90,0.43,3.98,5.17,0.01,0.000,,
5476,Hart,Josh,21.43,NYK,SG/SF,@ MIL,27.00,8.18,0.75,6.25,2.60,0.91,0.29,1.27,2.30,1.33,0.43,3.05,2.86,0.04,0.000,,
5668,Williams,Robert,20.79,POR,C,MEM,20.00,5.76,0.00,7.46,1.25,0.62,1.34,0.85,2.59,0.58,0.28,2.59,1.01,0.02,0.000,,
6171,Smith,Jalen,19.97,IND,PF/C,CLE,18.00,8.94,0.70,5.98,0.84,0.30,1.05,1.09,2.77,1.30,0.44,3.47,3.39,0.03,0.000,Questionable,
5042,Portis,Bobby,19.90,MIL,PF/C,NYK,20.00,8.31,1.04,6.86,1.00,0.40,0.34,0.72,2.16,0.87,0.29,3.20,3.51,0.04,0.000,,
5988,Dort,Luguentz,19.90,OKC,SG/SF,GSW,29.00,10.13,1.50,4.15,1.32,0.85,0.30,1.08,1.95,1.73,0.47,3.45,5.70,0.02,0.000,,
6739,Lively II,Dereck,19.89,DAL,C,@ DEN,25.00,8.81,0.13,4.79,0.84,0.61,1.24,0.81,3.76,0.90,0.49,3.89,2.47,0.01,0.000,,
5274,Caruso,Alex,19.87,CHI,PG/SG,BKN,25.00,6.74,1.07,3.24,2.49,1.43,0.72,1.01,1.31,0.91,0.23,2.38,3.08,0.00,0.000,,
6127,Martin,Caleb,19.70,MIA,SG/SF,WAS,24.00,9.08,1.03,4.26,1.59,0.87,0.37,0.82,2.40,1.19,0.29,3.43,3.70,0.01,0.000,Questionable,
6173,Green,Josh,19.00,DAL,SG/SF,@ DEN,30.00,9.49,1.20,3.95,2.04,0.82,0.16,1.22,2.55,0.79,0.31,3.75,3.85,0.01,0.000,,
6532,Nembhard,Andrew,18.85,IND,PG/SG,CLE,24.00,9.29,0.89,2.42,4.22,0.89,0.15,1.85,2.70,1.22,0.35,3.59,4.51,0.01,0.000,,
3456,Crowder,Jae,18.77,MIL,SF/PF,NYK,25.00,6.70,1.27,4.84,1.85,0.90,0.43,0.89,1.12,0.65,0.18,2.39,3.28,0.00,0.000,,
6775,Camara,Toumani,18.56,POR,PF,MEM,26.00,7.81,0.68,5.71,1.40,0.82,0.58,1.55,2.28,1.21,0.60,2.96,3.63,0.02,0.000,,
6527,Roddy,David,17.92,MEM,SF/PF,@ POR,23.00,9.01,1.46,3.60,1.40,0.63,0.37,0.99,1.87,0.89,0.42,3.33,4.70,0.01,0.000,,
5105,O'Neale,Royce,17.88,BKN,SG/SF,@ CHI,25.00,7.05,1.58,4.76,1.78,0.58,0.46,1.13,0.85,0.61,0.20,2.43,3.66,0.01,0.000,,
6158,Williams,Patrick,17.77,CHI,PF,BKN,24.00,8.22,1.14,3.48,0.97,0.80,0.71,0.88,1.91,0.98,0.23,3.05,4.03,0.01,0.000,,
5006,Connaughton,Pat,17.68,MIL,SG/SF,NYK,25.00,6.26,1.43,5.19,1.44,0.65,0.30,0.63,0.77,0.43,0.16,2.20,3.35,0.01,0.000,,
6322,Grimes,Quentin,17.44,NYK,SG/SF,@ MIL,23.00,9.21,1.93,2.36,1.43,0.64,0.24,0.66,1.21,1.00,0.27,3.14,3.78,0.00,0.000,,
3551,Middleton,Khris,17.35,MIL,SF/PF,NYK,17.00,8.78,0.90,3.08,2.84,0.53,0.16,1.18,2.13,1.82,0.21,3.03,3.69,0.01,0.000,,
5058,Wright,Delon,16.91,WAS,PG/SG,@ MIA,18.00,6.28,0.71,2.84,2.52,1.08,0.27,0.66,1.63,0.89,0.18,2.34,2.57,0.00,0.000,,
3464,Drummond,Andre,16.80,CHI,C,BKN,14.00,6.98,0.00,6.40,0.50,0.68,0.54,1.14,2.95,1.08,1.01,2.95,1.85,0.01,0.000,,
6191,Joe,Isaiah,16.56,OKC,PG/SG,GSW,21.00,8.93,1.83,2.52,1.08,0.70,0.09,0.61,1.00,1.44,0.28,2.83,4.04,0.00,0.000,,
5442,Jones,Derrick,16.55,DAL,SF,@ DEN,20.00,7.67,0.69,3.40,0.55,0.67,0.71,0.43,2.16,1.28,0.53,2.85,2.77,0.01,0.000,,
2848,Love,Kevin,16.48,MIA,PF/C,WAS,17.00,7.30,1.58,4.53,1.62,0.34,0.16,0.89,0.83,0.90,0.17,2.41,3.79,0.01,0.000,Questionable,
6301,Kispert,Corey,16.47,WAS,SG/SF,@ MIA,23.00,9.96,2.00,2.55,0.95,0.33,0.11,0.65,1.42,1.12,0.15,3.42,4.12,0.00,0.000,Questionable,
6526,Braun,Christian,16.14,DEN,SG,DAL,21.00,7.66,0.68,3.68,1.20,0.71,0.27,0.68,2.27,1.08,0.47,2.95,2.93,0.01,0.000,,
5961,Thybulle,Matisse,16.03,POR,SG/SF,MEM,23.00,4.98,0.93,2.80,1.10,1.49,0.62,0.61,0.86,0.47,0.21,1.79,2.45,0.00,0.000,,
5489,Hartenstein,Isaiah,15.78,NYK,C,@ MIL,19.00,4.64,0.07,5.36,1.57,0.66,0.70,0.90,1.94,0.55,0.30,2.01,1.52,0.00,0.000,,
5459,Kennard,Luke,15.75,MEM,PG/SG,@ POR,20.00,8.04,1.92,2.45,1.52,0.51,0.12,0.66,0.73,0.82,0.11,2.65,3.49,0.00,0.000,,
6746,Coulibaly,Bilal,15.75,WAS,SF,@ MIA,23.00,7.12,0.80,3.31,1.66,1.07,0.61,1.84,1.84,1.04,0.42,2.64,3.90,0.01,0.000,,
5336,Payton II,Gary,15.63,GSW,PG/SG/SF,@ OKC,19.00,5.98,0.49,3.88,1.23,1.12,0.34,0.86,2.05,0.41,0.17,2.54,2.08,0.00,0.000,,
5577,Craig,Torrey,15.43,CHI,SF/PF,BKN,20.00,5.72,0.97,4.28,1.15,0.48,0.62,0.71,1.29,0.23,0.10,2.26,2.86,0.00,0.000,,
3370,Jackson,Reggie,15.33,DEN,PG,DAL,20.00,7.78,1.23,1.77,3.02,0.51,0.07,1.04,1.78,0.53,0.09,3.01,4.29,0.01,0.000,,
6289,Kuminga,Jonathan,15.29,GSW,PF,@ OKC,16.00,8.50,0.72,2.93,1.33,0.48,0.30,0.89,2.56,1.22,0.64,3.28,2.92,0.00,0.000,,
2824,Gallinari,Danilo,15.16,WAS,SF,@ MIA,16.00,8.63,1.39,2.90,1.01,0.32,0.10,0.56,1.44,1.58,0.18,2.83,3.66,0.00,0.000,,
6531,Watson,Peyton,14.67,DEN,SG/SF,DAL,15.00,6.55,0.48,3.24,1.02,0.36,0.76,0.57,1.97,1.17,0.69,2.45,2.68,0.00,0.000,,
6736,Wallace,Cason,14.62,OKC,SG,GSW,19.00,6.04,0.78,2.12,2.45,0.92,0.22,0.92,1.53,0.64,0.22,2.31,3.37,0.00,0.000,,
3948,Saric,Dario,14.49,GSW,PF/C,@ OKC,17.00,7.26,0.83,4.05,1.01,0.49,0.19,1.01,1.64,1.49,0.28,2.47,2.98,0.01,0.000,,
6182,Mays,Skylar,14.36,POR,SG,MEM,17.00,6.50,0.77,1.94,2.65,0.69,0.08,0.76,1.67,0.85,0.11,2.44,2.88,0.00,0.000,,
5752,Robinson,Duncan,14.21,MIA,SG/SF,WAS,17.00,8.43,2.09,1.60,1.13,0.35,0.08,0.61,0.65,0.86,0.12,2.74,3.70,0.00,0.000,,
5040,Payne,Cam,13.51,MIL,PG,NYK,14.00,5.82,0.78,1.88,3.08,0.55,0.14,1.02,1.43,0.62,0.15,2.21,3.37,0.00,0.000,,
5700,DiVincenzo,Donte,13.39,NYK,SG/SF,@ MIL,16.00,5.78,1.27,2.42,1.80,0.77,0.11,0.95,0.71,0.55,0.14,1.98,2.57,0.00,0.000,,
